model,device_name,dtype,attn_implementation,prefix_len,n,warmup,repeat,t_decode_1_median_ms,t_decode_1_mean_ms,t_decode_1_p90_ms,t_verify_n_median_ms,t_verify_n_mean_ms,t_verify_n_p90_ms,t_decode_seq_n_median_ms,t_decode_seq_n_mean_ms,t_decode_seq_n_p90_ms,verify_vs_one_decode,verify_per_token_ms,amortized_vs_one_decode,speedup_over_seq,created_unix_time
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,1,20,100,31.523327827453613,31.697059898376466,32.38922271728516,31.505919456481934,31.610695686340332,32.32501907348633,31.47878360748291,32.299991092681886,35.30782852172852,0.9994477622709453,31.505919456481934,0.9994477622709453,0.9991387063298849,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,2,20,100,31.523327827453613,31.697059898376466,32.38922271728516,38.049278259277344,38.1117338180542,39.35160331726074,62.55718421936035,63.368734474182126,66.05865020751953,1.207019717827516,19.024639129638672,0.603509858913758,1.6441096147233063,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,4,20,100,31.523327827453613,31.697059898376466,32.38922271728516,38.864383697509766,38.93831672668457,40.88186798095703,123.48825454711914,126.44143074035645,134.12361755371094,1.2328769319736237,9.716095924377441,0.3082192329934059,3.177414455051082,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,8,20,100,31.523327827453613,31.697059898376466,32.38922271728516,37.91360092163086,38.3236198425293,39.59623718261719,248.500732421875,259.8136518859863,261.64694824218753,1.2027156881771843,4.739200115203857,0.15033946102214804,6.5543954248908545,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,16,20,100,31.523327827453613,31.697059898376466,32.38922271728516,38.15731239318848,38.826618881225585,41.18681640625,489.2789764404297,493.79514465332034,506.4904602050782,1.2104468348661253,2.38483202457428,0.07565292717913283,12.82267921279937,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,32,20,100,31.523327827453613,31.697059898376466,32.38922271728516,37.17683219909668,39.42471672058105,39.7875186920166,985.76025390625,992.3424871826172,1017.8102355957031,1.1793435135588521,1.1617760062217712,0.03685448479871413,26.515445119883076,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,64,20,100,31.523327827453613,31.697059898376466,32.38922271728516,36.80512046813965,37.111930999755856,38.91875953674317,1966.9222412109375,2018.588408203125,2018.809716796875,1.1675518736345512,0.575080007314682,0.018242998025539862,53.441537921703144,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,128,20,100,31.523327827453613,31.697059898376466,32.38922271728516,37.95353698730469,37.89292545318604,38.841037368774415,3952.5699462890625,3994.974462890625,4043.386157226563,1.2039825615825692,0.29651200771331787,0.009406113762363822,104.14233455003632,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,512,256,20,100,31.523327827453613,31.697059898376466,32.38922271728516,38.85824012756348,38.87522815704346,39.39307479858399,7879.299072265625,8000.24748046875,8128.414746093751,1.2326820423357048,0.15179000049829483,0.004815164227873847,202.77035311942933,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,1,20,100,31.980544090270996,32.585267219543454,34.96406936645508,31.75065517425537,32.08069128036499,32.64163703918457,31.57145595550537,31.666585578918458,32.493262100219724,0.9928116008481056,31.75065517425537,0.9928116008481056,0.9943560465834008,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,2,20,100,31.980544090270996,32.585267219543454,34.96406936645508,38.254079818725586,38.65372657775879,41.05605125427246,63.26323127746582,64.34436050415039,67.5923942565918,1.1961672606553027,19.127039909362793,0.5980836303276513,1.6537642933054715,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,4,20,100,31.980544090270996,32.585267219543454,34.96406936645508,37.7917423248291,38.086215553283694,39.20373764038086,123.35359954833984,126.92726783752441,132.8806900024414,1.1817104242552887,9.447935581207275,0.2954276060638222,3.2640357908901376,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,8,20,100,31.980544090270996,32.585267219543454,34.96406936645508,37.001216888427734,37.434265785217285,39.21305541992187,247.07839965820312,248.42377227783203,255.46557769775393,1.1569914753165225,4.625152111053467,0.1446239344145653,6.677574967418917,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,16,20,100,31.980544090270996,32.585267219543454,34.96406936645508,37.41798400878906,37.77720317840576,39.181517410278325,491.441162109375,495.5480163574219,504.5666778564453,1.1700233711837387,2.3386240005493164,0.07312646069898367,13.133822548909663,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,32,20,100,31.980544090270996,32.585267219543454,34.96406936645508,37.07289505004883,37.20831974029541,38.25305519104004,986.0966186523438,993.1956616210938,1015.8542053222657,1.1592327805744558,1.1585279703140259,0.03622602439295174,26.598856585683478,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,64,20,100,31.980544090270996,32.585267219543454,34.96406936645508,36.645376205444336,36.624435119628906,37.4783992767334,1957.6678466796875,1995.9786535644532,2046.084375,1.1458646889185495,0.5725840032100677,0.017904135764352336,53.421960678052486,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,128,20,100,31.980544090270996,32.585267219543454,34.96406936645508,36.856319427490234,37.20782859802246,39.7935604095459,3937.28515625,3988.1434155273437,4035.51044921875,1.152460674948383,0.28793999552726746,0.009003599023034242,106.82795291038406,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,2048,256,20,100,31.980544090270996,32.585267219543454,34.96406936645508,45.506561279296875,45.52530944824219,45.96070556640625,7882.04443359375,7938.965854492188,8060.401708984375,1.4229451866374192,0.17776000499725342,0.005558379635302419,173.20676869468647,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,1,20,100,31.17311954498291,32.09986038208008,34.35417442321778,31.35641574859619,31.720335273742677,32.72304801940918,31.4716157913208,31.92545286178589,32.74834060668945,1.005879944204775,31.35641574859619,1.005879944204775,1.0036738906528169,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,2,20,100,31.17311954498291,32.09986038208008,34.35417442321778,37.84499168395996,38.929602546691896,43.20184364318848,62.807552337646484,63.23329013824463,65.80448989868164,1.2140264508769973,18.92249584197998,0.6070132254384987,1.6596001093657669,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,4,20,100,31.17311954498291,32.09986038208008,34.35417442321778,38.70719909667969,39.1258625793457,41.29484672546387,122.95884704589844,124.83232765197754,129.76844787597656,1.241685133270832,9.676799774169922,0.310421283317708,3.1766402611251165,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,8,20,100,31.17311954498291,32.09986038208008,34.35417442321778,36.68275260925293,36.60912647247314,37.5855110168457,243.87635040283203,244.94892044067382,248.70246429443358,1.176743076878129,4.585344076156616,0.14709288460976613,6.648256552626211,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,16,20,100,31.17311954498291,32.09986038208008,34.35417442321778,36.96895980834961,36.99628051757813,37.77147026062012,490.35060119628906,495.6025122070312,509.7980773925782,1.185924294647614,2.3105599880218506,0.07412026841547588,13.263846311562737,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,32,20,100,31.17311954498291,32.09986038208008,34.35417442321778,36.7191047668457,37.100113792419435,37.93797149658203,979.378173828125,986.2784387207031,1008.9973571777343,1.1779092148240062,1.1474720239639282,0.036809662963250195,26.672169162261877,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,64,20,100,31.17311954498291,32.09986038208008,34.35417442321778,37.04729461669922,37.93553382873535,39.8101516723633,1972.8200073242188,2006.7407287597657,2023.6109008789065,1.188437190677688,0.5788639783859253,0.018569331104338876,53.251391977080075,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,128,20,100,31.17311954498291,32.09986038208008,34.35417442321778,40.020992279052734,40.08491016387939,40.40785903930664,3928.15673828125,3949.3371435546874,3995.860693359375,1.2838301993261314,0.3126640021800995,0.010029923432235402,98.15240738889112,1780138754
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A100-PCIE-40GB,bf16,sdpa,4096,256,20,100,31.17311954498291,32.09986038208008,34.35417442321778,54.55001449584961,54.57858558654785,55.00651550292969,7890.64404296875,7983.929350585938,8045.691650390625,1.7499055369525582,0.21308599412441254,0.006835568503720931,144.64971486981187,1780138754
