model,device_name,dtype,attn_implementation,max_context_len,prefill_chunk_size,prefix_len,n,warmup,repeat,prefill_time_s,cache_seq_len,peak_memory_allocated_gb,peak_memory_reserved_gb,decode_seq_mode,t_decode_1_median_ms,t_decode_1_mean_ms,t_decode_1_p90_ms,t_verify_n_median_ms,t_verify_n_mean_ms,t_verify_n_p90_ms,t_decode_seq_n_median_ms,t_decode_seq_n_mean_ms,t_decode_seq_n_p90_ms,verify_vs_one_decode,verify_per_token_ms,amortized_vs_one_decode,speedup_over_seq,created_unix_time
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,4096,32,5,20,0.7599718627929688,4096,15.701802253723145,15.9140625,estimated_n_times_decode_1,18.886655807495117,19.25662717819214,20.944486045837404,33.03065490722656,33.21477069854736,33.48653984069824,604.3729858398438,616.2120697021485,670.223553466797,1.7488884874006354,1.03220796585083,0.054652765231269856,18.297335839611733,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,4096,64,5,20,0.7599718627929688,4096,15.701802253723145,15.9140625,estimated_n_times_decode_1,18.886655807495117,19.25662717819214,20.944486045837404,33.38393592834473,33.417216300964355,33.45541229248047,1208.7459716796875,1232.424139404297,1340.447106933594,1.7675938116633865,0.5216239988803864,0.027618653307240414,36.20741347797155,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,4096,128,5,20,0.7599718627929688,4096,15.701802253723145,15.91796875,estimated_n_times_decode_1,18.886655807495117,19.25662717819214,20.944486045837404,36.882944107055664,36.98944034576416,37.20908889770508,2417.491943359375,2464.848278808594,2680.894213867188,1.9528573233393054,0.2881480008363724,0.015256697838588323,65.54498296942927,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,4096,256,5,20,0.7599718627929688,4096,15.701802253723145,15.98046875,estimated_n_times_decode_1,18.886655807495117,19.25662717819214,20.944486045837404,51.611135482788086,51.648665809631346,51.833444595336914,4834.98388671875,4929.696557617188,5361.788427734376,2.7326772938969084,0.20160599797964096,0.010674520679284798,93.68102138212363,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,4096,512,5,20,0.7599718627929688,4096,15.701802253723145,16.103515625,estimated_n_times_decode_1,18.886655807495117,19.25662717819214,20.944486045837404,80.6743049621582,80.70543327331544,81.29034271240235,9669.9677734375,9859.393115234376,10723.576855468751,4.271497600445645,0.15756700187921524,0.008342768750870401,119.86428365231507,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,32768,32,5,20,6.96207666015625,32768,20.34242820739746,24.400390625,estimated_n_times_decode_1,36.158464431762695,36.18089008331299,36.192766952514646,127.37075424194336,127.42159385681153,127.50581665039063,1157.0708618164062,1157.7884826660156,1158.1685424804687,3.5225708902078545,3.98033607006073,0.11008034031899545,9.084274240996692,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,32768,64,5,20,6.96207666015625,32768,20.34242820739746,24.400390625,estimated_n_times_decode_1,36.158464431762695,36.18089008331299,36.192766952514646,132.8368682861328,132.88232955932617,133.06798553466797,2314.1417236328125,2315.5769653320312,2316.3370849609373,3.6737419681308388,2.075576066970825,0.057402218252044356,17.42092954681913,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,32768,128,5,20,6.96207666015625,32768,20.34242820739746,24.40234375,estimated_n_times_decode_1,36.158464431762695,36.18089008331299,36.192766952514646,136.35379028320312,136.36060104370117,136.46202239990234,4628.283447265625,4631.1539306640625,4632.674169921875,3.771006109524546,1.0652639865875244,0.029460985230660517,33.94319613450279,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,32768,256,5,20,6.96207666015625,32768,20.34242820739746,24.40234375,estimated_n_times_decode_1,36.158464431762695,36.18089008331299,36.192766952514646,170.83904266357422,170.86550903320312,171.07189178466797,9256.56689453125,9262.307861328125,9265.34833984375,4.7247316872644625,0.6673400104045868,0.018455983153376807,54.18297100130559,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,32768,512,5,20,6.96207666015625,32768,20.34242820739746,24.91015625,estimated_n_times_decode_1,36.158464431762695,36.18089008331299,36.192766952514646,260.38323974609375,260.3510269165039,262.7525573730469,18513.1337890625,18524.61572265625,18530.6966796875,7.201169735442781,0.5085610151290894,0.014064784639536681,71.09956004509016,1780576000
